key,name,description,ticker,startMoment,endMoment,moreInfo,draftMode,key:sponsor
sponsorship-11,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB01-1a2b3c4d5e6,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-12,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#startMoment - errata
sponsorship-13,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB06-1a2b3c4,,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB07-1a2b3c4,1999/12/31 23:59,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB08-1a2b3c4,2201/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#endMoment - errata
sponsorship-16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB09-1a2b3c4,2025/01/01 0:00,,http://lorem.com/ipsum,true,sponsor-01
sponsorship-17,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB10-1a2b3c4,2025/01/01 0:00,1999/12/31 23:59,http://lorem.com/ipsum,true,sponsor-01
sponsorship-18,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB11-1a2b3c4,2025/01/01 0:00,2201/01/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#moreInfo - errata
sponsorship-19,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB12-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://,true,sponsor-01
sponsorship-20,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB13-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,ftp://,true,sponsor-01
sponsorship-21,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB14-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://a,true,sponsor-01
sponsorship-22,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB15-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,ftp://a,true,sponsor-01
sponsorship-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB16-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/xa",true,sponsor-01
#draftMode - errata
sponsorship-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB17-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,false,sponsor-01
sponsorship-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB18-1a2b3c4,2025/01/01 0:00,2025/01/01 0:00,http://lorem.com/ipsum,false,sponsor-01
sponsorship-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB19-1a2b3c4,1999/12/31 23:59,2200/12/31 23:59,http://lorem.com/ipsum,false,sponsor-01
sponsorship-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB20-1a2b3c4,2000/01/01 0:00,2201/01/01 0:00,http://lorem.com/ipsum,false,sponsor-01
